n intercept age male white school income south outmig inmig empth toler selfless altru
479 1 40 1 1 14 0.5 0 0 0 27 14 12 4
480 1 54 1 1 12 27.5 0 0 0 17 4 9 3
481 1 40 1 1 12 27.5 0 0 0 15 9 8 1
482 1 46 0 1 17 45 0 0 0 23 17 12 4
483 1 40 0 0 10 45 0 0 0 20 21 7 3
484 1 23 0 1 12 3.5 0 0 0 21 19 7 2
485 1 39 1 1 12 32.5 0 0 0 18 14 8 2
486 1 81 1 1 12 25 0 0 0 16 8 8 3
487 1 40 0 1 10 55 0 0 0 20 10 7 2
488 1 36 0 1 12 27.5 0 0 0 24 11 13 4
489 1 57 1 1 14 37.5 0 0 0 28 23 12 4
490 1 45 1 1 12 110 0 1 0 22 11 9 3
491 1 51 1 1 20 100 0 0 0 27 11 13 4
492 1 27 0 0 18 55 0 0 0 19 13 8 2
493 1 83 0 1 8 9 0 0 0 20 4 13 2
494 1 44 0 1 16 110 0 1 0 13 33 9 3
495 1 40 1 1 18 110 0 1 0 23 24 12 4
496 1 37 1 1 20 110 0 0 0 21 10 8 3
497 1 68 0 1 12 25 0 0 0 16 21 8 4
498 1 56 1 1 16 110 0 0 0 21 16 11 2
499 1 48 1 1 12 67.5 0 0 0 17 11 7 3
500 1 80 0 1 11 23.75 0 1 0 28 6 15 4
501 1 58 0 1 12 27.5 0 0 0 26 34 11 5
502 1 52 1 1 13 67.5 0 0 0 20 20 11 3
503 1 46 0 1 12 82.5 0 0 0 23 18 8 5
504 1 36 1 1 13 45 0 1 0 15 26 9 1
505 1 52 1 1 12 110 0 0 0 21 25 11 3
506 1 54 0 1 12 27.5 0 0 0 24 9 9 2
507 1 54 1 1 11 27.5 0 0 0 26 15 10 2
508 1 48 0 1 16 110 0 0 0 28 7 13 3
509 1 60 0 1 14 27.5 0 0 0 25 17 14 3
510 1 27 1 1 14 32.5 0 0 0 21 11 9 3
511 1 34 0 0 20 67.5 0 0 0 23 16 12 3
512 1 30 1 1 14 27.5 0 0 0 25 12 13 4
513 1 27 0 1 16 45 0 0 0 23 15 11 2
514 1 43 0 1 19 110 0 1 0 22 7 9 3
515 1 34 0 0 14 32.5 0 0 0 22 10 8 3
516 1 52 0 0 13 23.75 0 0 0 19 14 10 1
517 1 31 1 1 12 45 0 1 0 16 6 7 3
518 1 72 1 1 13 27.5 0 0 0 21 18 12 3
519 1 63 0 1 12 26.25 0 0 0 25 13 10 3
520 1 36 1 1 16 67.5 0 0 0 20 25 11 3
521 1 38 1 1 15 110 0 0 0 25 9 11 4
522 1 21 0 1 15 6.5 0 0 0 25 18 9 5
523 1 44 0 1 16 28.75 0 0 0 17 6 9 5
524 1 34 0 1 15 37.5 0 0 0 24 7 5 3
525 1 79 0 1 9 9 0 1 0 27 6 15 5
526 1 39 1 1 14 55 0 0 0 20 9 8 2
527 1 21 0 1 16 37.5 0 0 0 16 6 7 3
528 1 63 1 1 12 45 0 0 0 19 7 8 3
529 1 48 0 1 16 110 0 0 0 25 18 11 2
530 1 41 0 1 16 100 0 0 0 19 12 10 3
531 1 36 0 1 12 45 0 0 0 27 9 13 3
532 1 48 0 1 13 32.5 0 0 0 24 25 13 3
533 1 28 1 1 12 4.5 0 0 0 20 11 13 4
534 1 67 0 1 12 32.5 0 0 0 24 9 14 2
535 1 44 1 1 14 67.5 0 0 0 23 16 11 3
536 1 43 1 1 12 55 0 0 0 19 22 7 4
537 1 55 1 1 12 100 0 1 0 28 18 11 4
538 1 42 1 1 12 32.5 0 0 0 19 9 7 0
539 1 34 0 1 12 67.5 1 0 0 22 16 13 4
540 1 47 1 1 16 82.5 1 0 0 24 11 8 1
541 1 65 1 1 17 55 1 0 0 24 15 9 4
542 1 52 1 1 15 110 1 0 0 18 14 8 2
543 1 53 1 1 12 55 0 0 0 19 10 13 1
544 1 27 0 1 12 25 0 0 0 22 11 10 2
545 1 55 1 1 13 82.5 0 0 0 25 10 10 3
546 1 45 0 1 16 110 0 0 0 26 30 14 4
547 1 41 1 1 13 82.5 0 0 0 20 21 11 4
548 1 27 1 1 13 32.5 0 0 0 17 4 9 3
549 1 57 0 1 13 0.5 0 1 0 20 24 13 3
550 1 20 0 1 14 22.5 0 0 0 22 11 7 3
551 1 41 0 1 10 45 0 1 0 24 11 12 3
552 1 31 1 1 15 37.5 0 0 0 19 10 8 2
553 1 72 0 1 12 28.75 0 0 0 26 14 13 4
554 1 24 0 1 14 45 0 0 0 19 6 9 4
555 1 20 1 1 13 45 0 0 0 17 11 8 3
556 1 64 1 1 12 23.75 0 0 0 16 16 8 0
557 1 46 0 1 16 55 0 0 0 23 20 12 4
558 1 42 1 1 13 82.5 0 0 0 15 7 9 1
559 1 35 0 0 15 67.5 0 0 0 28 17 10 3
560 1 65 1 1 12 55 0 0 0 21 19 13 2
561 1 89 0 1 12 27.5 0 0 0 24 13 7 3
562 1 24 1 1 13 23.75 0 0 0 25 2 11 3
563 1 28 0 1 13 26.25 0 0 0 17 14 10 3
564 1 52 1 1 17 25 0 0 0 20 8 12 3
565 1 22 0 1 15 25 0 0 0 27 30 13 4
566 1 23 0 1 12 27.5 0 0 0 26 15 13 5
567 1 42 0 1 9 6.5 0 0 0 20 6 9 3
568 1 78 1 1 12 100 0 0 0 21 15 9 3
569 1 28 0 1 18 27.5 0 0 0 18 11 7 4
570 1 25 1 1 15 22.5 0 0 0 24 8 10 4
571 1 50 0 1 16 67.5 0 0 0 27 10 15 2
572 1 38 1 1 14 110 0 0 0 28 14 9 4
573 1 77 1 1 12 27.5 0 0 0 24 17 13 2
574 1 82 0 1 13 27.5 1 0 0 22 5 13 3
575 1 19 0 1 13 55 1 0 0 24 4 9 4
576 1 29 1 1 15 28.75 1 0 0 17 16 10 2
577 1 22 1 1 15 110 1 0 0 13 9 9 3
578 1 20 0 1 13 22.5 1 0 0 22 17 12 3
579 1 18 1 1 12 3.5 1 0 0 17 8 8 1
580 1 21 1 1 14 2 1 0 0 23 15 9 4
581 1 26 1 1 17 6.5 1 0 0 23 14 13 3
582 1 61 0 1 12 45 0 0 1 21 5 9 4
583 1 66 1 0 17 110 0 0 1 17 17 10 4
584 1 26 1 1 18 37.5 1 0 0 18 16 6 1
585 1 24 0 1 13 110 0 0 1 11 14 7 3
586 1 30 0 0 14 26.25 1 0 0 20 21 14 4
587 1 57 0 1 14 27.5 1 0 0 18 10 11 3
588 1 57 0 1 16 45 1 0 0 23 27 10 3
589 1 24 1 0 12 82.5 1 0 0 24 8 12 2
590 1 40 0 0 12 22.5 1 0 0 28 12 12 1
591 1 57 0 0 7 22.5 1 0 0 28 15 12 5
592 1 38 0 0 12 23.75 1 0 0 28 7 11 4
593 1 26 1 0 3 26.25 1 0 0 12 5 8 3
594 1 68 1 1 17 22.5 1 0 0 22 18 6 4
595 1 57 1 1 20 45 1 0 0 20 16 11 3
596 1 57 1 1 19 110 1 0 0 17 10 8 1
597 1 37 0 1 12 32.5 1 0 0 21 9 11 3
598 1 56 0 1 14 67.5 1 0 0 24 15 11 4
599 1 73 1 1 16 67.5 1 0 0 23 10 12 3
600 1 50 0 1 18 110 0 0 1 25 16 11 3
601 1 56 1 1 20 110 0 0 1 25 13 13 3
602 1 79 0 1 14 100 0 0 1 16 12 14 4
603 1 44 1 1 18 110 1 0 0 17 17 12 3
604 1 70 0 1 12 22.5 0 0 1 13 12 12 3
605 1 34 0 1 12 100 1 0 0 26 11 12 4
606 1 67 1 1 12 5.5 0 0 1 20 15 10 4
607 1 52 1 1 12 110 0 0 1 26 21 14 2
608 1 59 0 1 12 45 1 0 0 21 10 11 2
609 1 62 0 1 13 110 0 0 1 20 27 14 4
610 1 47 1 1 20 100 1 0 0 22 14 12 3
611 1 45 1 1 12 45 0 0 1 14 12 11 4
612 1 67 1 1 14 27.5 0 0 1 20 6 10 1
613 1 35 0 1 13 110 1 0 0 27 10 11 3
614 1 58 0 1 12 67.5 0 0 1 18 6 10 3
615 1 35 1 1 13 37.5 1 0 0 17 18 10 2
616 1 22 1 1 12 27.5 1 0 0 21 9 9 4
617 1 59 1 1 13 23.75 0 0 1 23 3 11 1
618 1 83 1 1 13 22.5 0 0 1 25 12 7 1
619 1 53 1 1 16 37.5 1 0 0 28 21 12 4
620 1 68 0 0 11 7.5 1 0 0 20 7 8 4
621 1 31 0 0 11 27.5 1 0 0 15 24 9 3
622 1 63 1 0 12 27.5 1 0 0 19 12 9 1
623 1 47 0 0 12 0.5 1 0 0 21 0 5 1
624 1 82 0 0 14 25 1 0 0 22 7 9 4
625 1 29 0 0 15 9 1 0 0 28 15 10 4
626 1 38 0 0 10 4.5 1 0 0 24 46 8 4
627 1 44 0 1 16 110 0 0 1 19 18 10 3
628 1 55 0 0 13 27.5 1 0 0 14 23 9 2
629 1 39 1 1 14 67.5 0 0 1 21 19 11 2
630 1 50 1 1 20 67.5 1 0 0 27 33 13 4
631 1 79 1 1 10 27.5 0 0 1 20 7 8 3
632 1 40 0 0 12 28.75 1 0 0 23 20 12 5
633 1 51 1 1 16 67.5 0 0 1 24 11 12 3
634 1 29 0 0 20 110 1 0 0 18 22 9 5
635 1 29 0 1 15 28.75 1 0 0 19 24 10 3
636 1 58 1 1 12 110 1 0 0 17 31 6 1
637 1 58 1 1 17 100 1 0 0 24 18 11 3
638 1 50 1 1 11 27.5 1 0 0 11 7 9 1
639 1 65 0 1 5 27.5 1 0 0 15 5 12 3
640 1 28 0 1 12 25 1 0 0 19 14 7 4
641 1 31 0 1 20 110 1 0 0 26 17 13 3
642 1 27 0 0 13 22.5 1 0 0 11 16 10 4
643 1 51 0 0 18 27.5 1 0 0 24 21 8 5
644 1 57 1 0 12 27.5 1 0 0 18 2 10 2
645 1 52 1 0 13 37.5 0 0 1 24 2 8 3
646 1 30 1 0 12 28.75 1 0 0 15 0 5 4
647 1 37 0 0 16 27.5 1 0 0 20 24 10 4
648 1 18 0 0 17 27.5 1 0 0 25 16 10 4
649 1 36 0 1 15 27.5 0 0 1 16 2 8 4
650 1 39 1 1 17 67.5 1 0 0 26 14 9 3
651 1 60 0 1 16 67.5 1 0 0 28 16 13 5
652 1 31 1 0 20 26.25 0 0 1 23 29 9 2
653 1 33 0 0 20 2 0 0 1 27 22 11 2
654 1 40 1 1 3 55 0 0 1 13 0 8 3
655 1 59 1 1 14 37.5 1 0 0 17 6 10 2
656 1 25 0 1 19 27.5 1 0 0 10 14 7 2
657 1 28 0 0 13 27.5 1 0 0 20 11 12 5
658 1 67 0 1 12 22.5 0 0 1 23 9 12 3
659 1 44 1 1 14 32.5 1 0 0 28 4 10 4
660 1 59 1 1 14 55 1 0 0 28 14 12 2
661 1 27 0 1 19 32.5 1 0 0 26 20 10 1
662 1 83 0 1 11 9 1 0 0 16 2 8 4
663 1 68 0 1 20 67.5 1 0 0 17 19 11 3
664 1 36 1 1 18 82.5 1 0 0 22 8 12 1
665 1 51 0 1 18 67.5 1 0 0 23 18 13 3
666 1 27 1 0 13 27.5 0 0 1 21 20 10 5
667 1 39 0 0 13 32.5 0 0 1 20 8 13 4
668 1 26 0 1 15 55 1 0 0 26 20 13 4
669 1 28 0 1 18 82.5 1 0 0 27 14 14 3
670 1 38 0 0 12 25 1 0 0 9 8 8 4
671 1 30 0 1 16 100 1 0 0 21 14 12 3
672 1 76 1 1 11 25 1 0 0 13 15 9 0
673 1 53 0 0 12 27.5 1 0 0 20 17 8 3
674 1 31 0 1 20 28.75 1 0 0 24 14 15 4
675 1 21 1 1 14 32.5 1 0 0 17 12 10 3
676 1 51 0 1 19 100 0 0 1 18 14 9 3
677 1 45 0 1 11 22.5 1 0 0 20 8 7 3
678 1 28 1 1 16 67.5 0 0 1 24 13 9 4
679 1 49 1 1 12 110 0 0 1 11 7 8 1
680 1 68 1 0 20 110 1 0 0 23 11 12 1
681 1 61 1 1 12 27.5 1 0 0 17 13 9 4
682 1 49 0 1 15 55 1 0 0 25 18 15 3
683 1 31 0 1 18 55 1 0 0 23 20 13 3
684 1 35 0 1 12 26.25 1 0 0 18 10 10 3
685 1 19 1 0 11 5.5 1 0 0 16 16 11 3
686 1 30 1 1 14 37.5 1 0 0 17 12 8 5
687 1 29 0 1 16 82.5 1 0 0 17 11 9 1
688 1 19 1 0 10 7.5 1 0 0 17 15 9 1
689 1 36 0 0 16 100 0 0 1 19 11 8 3
690 1 53 0 1 18 55 0 0 1 16 12 8 3
691 1 44 0 0 13 5.5 1 0 0 21 26 10 4
692 1 26 1 0 12 7.5 1 0 0 27 35 9 4
693 1 21 1 1 15 4.5 1 0 0 22 25 10 5
694 1 49 1 1 14 100 1 0 0 23 10 12 3
695 1 50 1 0 12 28.75 1 0 0 26 37 13 4
696 1 41 1 1 12 55 0 0 1 18 12 8 4
697 1 34 1 1 11 55 1 0 0 18 3 12 2
698 1 37 1 1 12 55 0 0 1 18 14 9 2
699 1 46 0 1 15 45 1 0 0 22 14 13 3
700 1 62 1 1 6 45 1 0 0 13 6 8 1
701 1 38 1 1 12 55 1 0 0 21 23 11 3
702 1 31 1 0 12 27.5 1 0 0 23 22 7 2
703 1 59 1 1 12 110 0 0 1 23 25 11 3
704 1 61 0 1 14 37.5 0 0 1 16 24 13 4
705 1 66 1 1 14 110 0 0 1 22 27 14 3
706 1 41 1 1 12 5.5 1 0 0 24 14 13 5
707 1 20 1 1 11 2 0 0 1 15 6 7 1
708 1 30 0 0 12 37.5 1 0 0 22 26 12 5
709 1 22 1 0 12 9 1 0 0 10 4 12 1
710 1 23 0 1 12 2 1 0 0 14 16 12 5
711 1 47 1 1 12 67.5 1 0 0 24 20 8 3
712 1 46 1 1 14 45 1 0 0 23 19 14 4
713 1 37 1 1 18 55 0 0 1 20 15 8 3
714 1 39 1 1 15 82.5 0 0 1 27 11 11 3
715 1 43 0 0 13 32.5 1 0 0 21 25 14 4
716 1 53 1 1 19 100 0 0 1 24 19 10 2
717 1 43 1 1 17 100 1 0 0 22 13 7 1
718 1 40 1 1 17 100 0 0 1 19 15 10 1
719 1 32 1 1 17 55 0 0 1 21 12 12 3
720 1 59 0 1 8 37.5 0 0 1 28 22 12 4
721 1 67 1 1 16 110 1 0 0 18 18 9 3
722 1 41 1 1 12 45 1 0 0 17 13 11 4
723 1 40 1 1 14 67.5 0 0 1 13 9 6 3
724 1 45 0 1 16 110 1 0 0 21 16 10 3
725 1 18 1 1 13 0.5 1 0 0 25 14 10 4
726 1 35 0 1 14 23.75 1 0 0 26 17 14 4
727 1 19 0 1 13 82.5 0 0 1 23 8 11 3
728 1 56 1 0 18 82.5 0 0 1 26 8 13 3
729 1 35 1 1 20 45 0 0 1 11 7 8 3
730 1 47 0 1 10 23.75 0 0 1 28 26 9 5
731 1 31 0 0 11 6.5 1 0 0 13 18 9 4
732 1 39 0 0 16 37.5 1 0 0 24 23 8 4
733 1 23 1 1 15 0.5 1 0 0 18 8 10 3
734 1 20 0 1 14 0.5 1 0 0 18 21 8 5
735 1 18 1 0 12 37.5 1 0 0 26 24 11 5
736 1 36 0 0 14 67.5 1 0 0 22 23 12 5
737 1 43 1 0 14 67.5 1 0 0 19 16 10 4
738 1 57 0 1 12 2 0 0 0 22 8 9 1
739 1 31 0 1 11 55 0 0 0 21 16 10 3
740 1 56 1 1 11 55 0 0 0 20 15 9 2
741 1 30 0 1 14 27.5 0 0 0 18 7 9 3
742 1 30 0 1 19 27.5 0 0 0 22 9 13 4
743 1 28 1 1 14 45 0 0 0 24 21 11 3
744 1 48 1 1 12 110 0 0 0 22 19 11 1
745 1 49 0 1 13 110 0 0 0 9 17 7 3
746 1 37 1 1 12 45 0 0 0 16 10 10 3
747 1 27 1 1 11 27.5 0 0 0 15 13 10 4
748 1 35 0 1 13 55 0 0 0 18 15 6 2
749 1 72 1 1 17 32.5 0 0 0 16 7 6 1
750 1 40 0 1 17 100 0 0 0 24 21 12 4
751 1 41 0 1 16 45 0 0 0 27 11 12 4
752 1 41 1 1 17 45 0 0 0 15 11 10 3
753 1 76 1 1 15 45 0 0 0 14 28 9 2
754 1 61 1 1 15 55 0 0 0 26 23 12 4
755 1 27 0 1 12 32.5 0 0 0 24 8 11 3
756 1 58 1 1 12 55 0 0 0 21 18 12 1
757 1 67 1 1 16 67.5 0 0 0 13 6 4 1
758 1 42 0 1 15 100 0 0 0 22 14 12 2
759 1 79 0 1 18 26.25 0 0 0 27 16 8 3
760 1 54 1 1 20 110 0 0 0 19 19 12 4
761 1 39 0 1 18 67.5 0 0 0 20 16 10 3
762 1 77 0 1 18 67.5 0 0 0 20 17 10 4
763 1 20 0 1 16 5.5 0 0 0 16 15 12 2
764 1 39 0 1 12 100 0 0 0 25 13 10 5
765 1 52 0 1 13 110 0 0 0 20 14 11 4
766 1 51 1 1 15 27.5 0 0 0 19 14 8 3
767 1 23 1 1 15 9 0 0 0 19 8 9 3
768 1 41 1 1 19 110 0 0 0 17 21 9 0
769 1 72 1 1 14 27.5 0 0 0 28 8 11 1
770 1 78 0 1 12 32.5 0 0 0 24 12 11 4
771 1 85 0 1 14 23.75 0 0 0 11 17 12 5
772 1 82 0 1 12 32.5 0 0 0 23 5 13 3
773 1 20 1 1 13 25 0 0 0 8 9 6 2
774 1 56 0 1 13 27.5 0 0 0 23 10 9 3
775 1 48 1 1 12 32.5 0 0 0 18 15 11 3
776 1 21 0 1 14 23.75 0 0 0 27 23 12 3
777 1 52 1 1 12 55 0 0 0 28 16 13 4
778 1 71 0 1 12 25 0 0 0 24 4 15 2
779 1 50 0 1 12 45 0 0 0 24 20 11 4
780 1 30 0 1 15 55 0 0 0 28 18 12 3
781 1 26 0 1 14 27.5 0 0 0 20 20 10 3
782 1 34 1 1 16 7.5 0 0 0 23 14 9 5
783 1 47 1 1 18 110 0 0 0 22 29 14 3
784 1 43 0 1 16 67.5 0 0 0 22 16 9 4
785 1 34 0 1 16 55 0 0 0 22 14 10 3
786 1 38 0 1 16 67.5 0 0 0 24 23 11 5
787 1 31 0 1 14 55 0 0 0 28 19 16 4
788 1 52 1 1 16 100 0 1 0 24 20 11 3
789 1 39 1 1 11 9 0 0 0 15 14 9 3
790 1 38 1 1 12 55 0 0 0 12 19 5 2
791 1 47 0 1 14 82.5 0 0 0 24 18 13 3
792 1 56 0 1 20 110 0 0 0 25 15 12 3
793 1 63 0 1 12 110 0 0 0 24 11 11 3
794 1 63 0 1 17 55 0 0 0 26 11 10 4
795 1 57 1 1 14 22.5 0 0 0 15 0 7 4
796 1 20 0 1 14 2 0 0 0 20 10 9 2
797 1 44 0 0 12 27.5 0 0 0 14 3 7 4
798 1 33 1 1 11 32.5 0 0 0 28 10 12 4
799 1 75 1 1 12 82.5 0 0 0 16 11 8 5
800 1 25 0 1 17 100 0 0 0 19 8 9 4
801 1 59 0 1 19 67.5 0 1 0 19 16 10 3
802 1 55 0 1 6 22.5 0 0 0 18 15 9 5
803 1 57 0 1 11 27.5 0 0 0 26 6 10 4
804 1 61 1 0 16 110 0 0 0 21 23 11 5
805 1 55 1 1 12 100 0 0 0 23 17 9 3
806 1 33 1 1 12 32.5 0 0 0 8 7 7 3
807 1 41 0 1 14 27.5 0 0 0 26 10 14 1
808 1 50 0 1 13 82.5 0 0 0 26 20 16 4
809 1 44 1 0 2 55 0 0 0 24 19 9 4
810 1 50 0 1 14 110 0 0 0 23 18 12 4
811 1 46 1 0 12 55 0 0 0 18 16 8 2
812 1 74 0 0 13 37.5 0 0 0 21 17 11 4
813 1 67 1 1 16 55 0 0 0 22 18 12 3
814 1 27 1 0 17 28.75 0 0 0 26 13 14 3
815 1 62 0 0 12 45 0 0 0 22 18 12 3
816 1 49 1 0 15 82.5 0 0 0 24 11 8 4
817 1 41 1 0 12 67.5 0 0 0 28 14 11 4
818 1 40 0 1 14 100 0 0 0 17 6 8 2
819 1 24 1 1 16 110 0 0 0 20 15 12 4
820 1 54 1 1 16 82.5 0 0 0 22 24 15 5
821 1 58 0 1 12 110 0 0 0 28 17 9 2
822 1 45 0 1 16 110 0 0 0 20 19 13 4
823 1 61 1 1 16 67.5 0 0 0 19 12 8 2
824 1 37 1 1 13 27.5 0 0 0 20 41 14 2
825 1 58 1 1 20 110 0 0 0 20 25 12 2
826 1 35 1 1 16 67.5 0 0 0 26 16 9 2
827 1 50 1 1 20 67.5 0 0 0 21 21 10 3
828 1 51 0 1 18 45 0 0 0 28 21 13 3
829 1 28 0 1 8 7.5 0 0 0 22 16 12 4
830 1 43 1 1 12 67.5 0 0 0 17 11 12 2
831 1 79 0 1 12 23.75 0 0 0 19 10 11 3
832 1 76 0 1 12 23.75 0 0 0 25 6 8 1
833 1 43 0 1 18 37.5 0 0 0 28 25 15 5
834 1 88 0 1 16 23.75 0 0 0 18 10 12 2
835 1 24 0 1 12 45 0 0 0 26 14 10 3
836 1 51 1 1 12 37.5 0 0 0 20 18 12 2
837 1 47 0 1 15 67.5 0 0 0 17 10 10 3
838 1 42 0 1 14 0.5 0 0 0 20 20 12 5
839 1 69 0 1 12 27.5 0 0 0 28 27 13 4
840 1 52 1 1 14 67.5 0 0 0 24 27 12 3
841 1 37 1 1 19 110 0 0 0 21 17 11 4
842 1 44 1 1 20 110 0 0 0 19 13 9 1
843 1 37 0 1 17 110 0 0 0 27 16 11 3
844 1 43 1 1 13 82.5 0 0 0 21 23 8 3
845 1 22 1 1 15 23.75 0 0 0 21 13 10 3
846 1 32 0 1 16 37.5 0 0 0 28 14 10 3
847 1 29 0 1 12 82.5 0 0 0 22 12 12 3
848 1 45 0 1 16 67.5 0 0 0 24 13 11 3
849 1 23 0 0 16 3.5 0 1 0 25 12 11 4
850 1 49 0 1 20 55 0 0 0 18 12 10 3
851 1 75 0 1 19 45 0 0 0 26 12 14 3
852 1 24 0 1 11 28.75 0 0 0 20 9 9 3
853 1 38 1 1 12 45 0 0 0 19 20 11 4
854 1 25 1 1 14 28.75 0 1 0 24 15 11 4
855 1 48 0 1 18 82.5 0 0 0 26 14 10 2
856 1 44 0 1 12 55 0 0 0 22 11 11 4
857 1 60 0 1 14 82.5 0 0 0 27 14 11 2
858 1 83 1 1 12 55 0 0 0 15 6 9 1
859 1 44 0 1 14 55 0 0 0 27 9 13 3
860 1 71 0 1 18 67.5 0 0 0 21 16 12 2
861 1 23 0 1 12 25 0 0 0 20 13 10 4
862 1 47 1 1 11 6.5 0 0 0 28 10 12 5
863 1 50 1 1 12 23.75 0 0 0 22 12 8 3
864 1 26 1 1 12 37.5 0 1 0 16 11 9 3
865 1 35 0 1 12 27.5 0 1 0 12 8 7 5
866 1 39 0 1 14 37.5 0 0 0 18 9 10 3
867 1 53 0 1 14 28.75 0 1 0 17 8 10 3
868 1 36 1 0 13 7.5 0 0 0 24 9 8 4
869 1 49 1 1 11 0.5 0 0 0 16 8 12 2
870 1 64 1 1 14 100 0 0 0 22 12 11 4
871 1 34 1 1 14 55 0 0 0 21 9 11 1
872 1 67 1 1 13 110 0 0 0 21 16 8 5
873 1 47 1 1 17 110 0 0 0 22 15 9 2
874 1 74 1 1 12 37.5 0 0 0 24 9 10 4
875 1 35 1 1 16 100 0 1 0 24 19 9 5
876 1 46 0 1 16 23.75 0 0 0 22 14 10 2
877 1 31 1 1 12 67.5 0 0 0 24 21 11 4
878 1 51 1 1 19 110 0 0 0 25 19 14 3
879 1 56 1 1 10 82.5 0 0 0 21 18 12 3
880 1 38 0 1 12 82.5 0 0 0 26 31 15 5
881 1 26 0 1 14 27.5 0 0 0 28 20 10 4
882 1 59 1 1 8 45 0 0 0 17 5 8 4
883 1 57 1 1 12 32.5 0 0 0 28 5 11 0
884 1 45 0 1 12 32.5 0 0 0 17 13 5 1
885 1 61 1 1 12 23.75 0 0 0 12 24 16 3
886 1 30 0 1 15 82.5 0 0 0 19 15 6 2
887 1 62 0 1 13 67.5 0 0 0 22 14 12 4
888 1 59 0 1 12 45 0 0 0 27 10 8 3
889 1 88 1 1 19 45 0 0 0 17 13 10 2
890 1 22 1 1 12 23.75 0 0 0 24 20 12 3
891 1 21 1 1 12 22.5 0 0 0 14 6 3 2
892 1 32 1 1 14 32.5 0 0 0 25 10 11 2
893 1 84 1 1 10 25 0 0 0 15 13 9 3
894 1 46 0 1 12 32.5 0 0 0 16 2 7 3
895 1 34 1 1 12 23.75 0 0 0 23 4 7 3
896 1 41 1 0 16 37.5 0 1 0 19 20 11 3
897 1 43 0 1 14 32.5 0 0 0 18 6 13 3
898 1 52 1 1 16 32.5 0 0 0 14 0 7 3
899 1 51 1 1 18 82.5 0 0 0 27 21 11 3
900 1 49 0 1 13 26.25 0 0 0 27 23 11 3
901 1 42 0 1 13 55 0 0 0 25 15 11 4
902 1 28 1 1 13 25 0 0 0 26 13 8 4
903 1 55 1 1 13 32.5 0 0 0 21 13 7 3
904 1 26 0 1 13 37.5 0 0 0 26 8 13 4
905 1 30 1 1 12 55 0 0 0 17 10 9 2
906 1 43 1 1 12 27.5 0 0 0 25 12 16 4
907 1 87 0 1 12 22.5 0 0 0 28 13 16 4
908 1 77 0 1 10 22.5 0 0 0 23 7 11 4
909 1 79 0 1 12 0.5 0 0 0 22 9 10 1
910 1 20 0 0 11 32.5 0 0 0 10 8 9 3
911 1 20 0 1 12 28.75 0 0 0 18 16 12 3
912 1 51 0 1 12 9 0 0 0 19 5 9 2
913 1 45 1 1 11 37.5 0 0 0 22 12 9 3
914 1 50 0 0 10 22.5 0 0 0 26 28 14 4
915 1 61 1 1 8 25 0 0 0 17 9 9 4
916 1 48 0 1 12 27.5 0 0 0 25 7 6 2
917 1 34 1 1 12 22.5 0 0 0 17 11 8 3
918 1 79 1 1 12 32.5 0 0 0 14 0 9 1
919 1 71 0 1 12 23.75 0 0 0 28 9 12 2
920 1 43 0 1 13 32.5 0 0 0 25 15 12 4
921 1 46 0 1 13 27.5 0 0 0 26 12 14 2
922 1 42 0 1 13 23.75 0 1 0 28 27 2 3
923 1 66 0 1 12 25 0 0 0 28 10 14 3
924 1 33 0 1 12 32.5 0 0 0 26 16 13 5
925 1 65 0 1 8 7.5 0 0 0 27 8 13 4
926 1 66 1 1 12 9 0 0 0 28 7 13 3
927 1 68 0 1 8 6.5 0 0 0 27 4 12 2
928 1 79 0 1 11 25 0 0 0 28 16 10 4
929 1 44 1 1 12 0.5 0 0 0 26 8 10 4
930 1 34 1 1 12 25 0 0 0 25 10 12 2
931 1 30 0 1 17 110 0 0 0 20 21 12 3
932 1 36 0 1 12 32.5 0 0 0 19 9 10 4
933 1 28 1 1 9 25 0 1 0 21 8 11 3
934 1 52 1 1 12 32.5 0 0 0 23 14 13 4
935 1 35 1 1 10 28.75 0 0 0 26 12 11 3
936 1 40 1 1 12 67.5 0 0 0 14 5 8 2
937 1 51 0 1 11 28.75 0 0 0 28 16 14 5
938 1 26 0 1 14 37.5 0 0 0 23 12 10 3
939 1 32 1 1 10 25 0 1 0 28 14 8 5
940 1 39 0 1 12 67.5 0 0 0 23 9 10 4
941 1 35 1 1 19 55 0 0 0 19 17 11 4
942 1 52 1 1 12 55 0 0 0 19 12 11 1
943 1 29 0 1 17 67.5 0 0 0 23 16 6 3
944 1 62 1 1 8 2 0 0 0 22 11 10 3
945 1 63 1 1 12 67.5 0 0 0 17 15 10 4
946 1 59 0 1 12 67.5 0 0 0 16 16 11 4
947 1 70 0 1 7 23.75 0 0 0 22 38 11 5
948 1 61 1 1 14 55 1 0 0 22 12 9 3
949 1 55 1 1 16 82.5 1 0 0 2 6 4 0
950 1 65 0 1 12 0.5 1 0 0 28 17 12 5
951 1 25 0 1 12 67.5 1 0 0 21 19 8 3
952 1 51 0 1 16 100 1 0 0 19 14 10 3
953 1 29 0 1 16 67.5 1 0 0 22 19 9 3
954 1 68 1 1 16 27.5 1 0 0 24 14 12 5
955 1 75 0 1 11 22.5 1 0 0 17 16 9 4
956 1 24 1 1 10 37.5 1 0 0 25 18 8 1
